Price,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ
Date,,,,,
2025-12-09,624.2457275390625,625.0646797487918,620.2009509200387,622.2083743789747,37156000
2025-12-10,626.8024291992188,628.4004070267185,620.1909521392804,623.0472575003708,55031400
2025-12-11,624.7750854492188,624.9748403012362,616.9251525569541,623.0173402820615,58272800
2025-12-12,612.8304443359375,622.7376631081598,610.5733425467316,621.2795807165155,75158700
2025-12-15,609.75439453125,617.6242601897563,608.5359935678383,617.5743367162205,49538200
2025-12-16,610.9628295898438,612.7205746597449,606.1290306476157,607.4773301066649,55152800
2025-12-17,599.6373901367188,612.8604046495489,599.5076134954934,612.2711370165166,70654300
2025-12-18,608.3262329101562,612.1413249643276,606.1390483830863,609.015347513387,78875800
2025-12-19,616.2559814453125,616.825255296648,611.0826542701337,611.1625683957468,60369800
2025-12-22,619.2100219726562,621.6500244140625,617.77001953125,621.3499755859375,43703100
2025-12-23,622.1099853515625,622.4099731445312,617.780029296875,618.2000122070312,41120400
2025-12-24,623.9299926757812,624.280029296875,621.719970703125,621.989990234375,18468700
2025-12-26,623.8900146484375,625.52001953125,623.1400146484375,624.6599731445312,28959800
2025-12-29,620.8699951171875,622.780029296875,618.72998046875,620.0999755859375,32458300
2025-12-30,619.4299926757812,622.1799926757812,619.219970703125,619.8400268554688,31226800
2025-12-31,614.3099975585938,619.9600219726562,614.0499877929688,619.6500244140625,40746500
2026-01-02,613.1199951171875,622.8499755859375,610.1500244140625,620.0599975585938,61859200
2026-01-05,617.989990234375,620.8099975585938,616.719970703125,619.3200073242188,46828400
2026-01-06,623.4199829101562,624.02001953125,618.5399780273438,619.22998046875,43137500
2026-01-07,624.02001953125,627.9400024414062,622.5599975585938,623.0399780273438,44811900
